case_id,setting,method,tol_mm,gt_name,matched,error_mm
subject022,sd:3,M3 expansion,10.0,label_4,1,2.121
subject022,sd:3,M3 expansion,10.0,label_5,1,2.598
subject022,sd:3,M3 expansion,10.0,label_6,1,3.354
subject022,sd:3,M3 expansion,10.0,label_7,1,2.121
subject022,sd:3+r5,M3 expansion,3.0,label_2,1,2.121
subject022,sd:3+r5,M3 expansion,3.0,label_3,0,
subject022,sd:3+r5,M3 expansion,3.0,label_4,1,2.121
subject022,sd:3+r5,M3 expansion,3.0,label_5,1,2.598
subject022,sd:3+r5,M3 expansion,3.0,label_6,0,
subject022,sd:3+r5,M3 expansion,3.0,label_7,1,2.121
subject022,sd:3+r5,M3 expansion,5.0,label_2,1,2.121
subject022,sd:3+r5,M3 expansion,5.0,label_3,0,
subject022,sd:3+r5,M3 expansion,5.0,label_4,1,2.121
subject022,sd:3+r5,M3 expansion,5.0,label_5,1,2.598
subject022,sd:3+r5,M3 expansion,5.0,label_6,1,3.354
subject022,sd:3+r5,M3 expansion,5.0,label_7,1,2.121
subject022,sd:3+r5,M3 expansion,6.0,label_2,1,2.121
subject022,sd:3+r5,M3 expansion,6.0,label_3,0,
subject022,sd:3+r5,M3 expansion,6.0,label_4,1,2.121
subject022,sd:3+r5,M3 expansion,6.0,label_5,1,2.598
subject022,sd:3+r5,M3 expansion,6.0,label_6,1,3.354
subject022,sd:3+r5,M3 expansion,6.0,label_7,1,2.121
subject022,sd:3+r5,M3 expansion,8.0,label_2,1,2.121
subject022,sd:3+r5,M3 expansion,8.0,label_3,0,
subject022,sd:3+r5,M3 expansion,8.0,label_4,1,2.121
subject022,sd:3+r5,M3 expansion,8.0,label_5,1,2.598
subject022,sd:3+r5,M3 expansion,8.0,label_6,1,3.354
subject022,sd:3+r5,M3 expansion,8.0,label_7,1,2.121
subject022,sd:3+r5,M3 expansion,10.0,label_2,1,2.121
subject022,sd:3+r5,M3 expansion,10.0,label_3,0,
subject022,sd:3+r5,M3 expansion,10.0,label_4,1,2.121
subject022,sd:3+r5,M3 expansion,10.0,label_5,1,2.598
subject022,sd:3+r5,M3 expansion,10.0,label_6,1,3.354
subject022,sd:3+r5,M3 expansion,10.0,label_7,1,2.121
subject022,sd:3+f230,M3 expansion,3.0,label_2,0,
subject022,sd:3+f230,M3 expansion,3.0,label_3,0,
subject022,sd:3+f230,M3 expansion,3.0,label_4,1,1.5
subject022,sd:3+f230,M3 expansion,3.0,label_5,0,
subject022,sd:3+f230,M3 expansion,3.0,label_6,1,2.121
subject022,sd:3+f230,M3 expansion,3.0,label_7,0,
subject022,sd:3+f230,M3 expansion,5.0,label_2,0,
subject022,sd:3+f230,M3 expansion,5.0,label_3,0,
subject022,sd:3+f230,M3 expansion,5.0,label_4,1,1.5
subject022,sd:3+f230,M3 expansion,5.0,label_5,1,3.674
subject022,sd:3+f230,M3 expansion,5.0,label_6,1,2.121
subject022,sd:3+f230,M3 expansion,5.0,label_7,0,
subject022,sd:3+f230,M3 expansion,6.0,label_2,0,
subject022,sd:3+f230,M3 expansion,6.0,label_3,0,
subject022,sd:3+f230,M3 expansion,6.0,label_4,1,1.5
subject022,sd:3+f230,M3 expansion,6.0,label_5,1,3.674
subject022,sd:3+f230,M3 expansion,6.0,label_6,1,2.121
subject022,sd:3+f230,M3 expansion,6.0,label_7,0,
subject022,sd:3+f230,M3 expansion,8.0,label_2,0,
subject022,sd:3+f230,M3 expansion,8.0,label_3,0,
subject022,sd:3+f230,M3 expansion,8.0,label_4,1,1.5
subject022,sd:3+f230,M3 expansion,8.0,label_5,1,3.674
subject022,sd:3+f230,M3 expansion,8.0,label_6,1,2.121
subject022,sd:3+f230,M3 expansion,8.0,label_7,0,
subject022,sd:3+f230,M3 expansion,10.0,label_2,0,
subject022,sd:3+f230,M3 expansion,10.0,label_3,0,
subject022,sd:3+f230,M3 expansion,10.0,label_4,1,1.5
subject022,sd:3+f230,M3 expansion,10.0,label_5,1,3.674
subject022,sd:3+f230,M3 expansion,10.0,label_6,1,2.121
subject022,sd:3+f230,M3 expansion,10.0,label_7,0,
subject022,sd:3+f230+r5,M3 expansion,3.0,label_2,0,
subject022,sd:3+f230+r5,M3 expansion,3.0,label_3,0,
subject022,sd:3+f230+r5,M3 expansion,3.0,label_4,1,1.5
subject022,sd:3+f230+r5,M3 expansion,3.0,label_5,0,
subject022,sd:3+f230+r5,M3 expansion,3.0,label_6,1,2.121
subject022,sd:3+f230+r5,M3 expansion,3.0,label_7,0,
subject022,sd:3+f230+r5,M3 expansion,5.0,label_2,0,
subject022,sd:3+f230+r5,M3 expansion,5.0,label_3,0,
subject022,sd:3+f230+r5,M3 expansion,5.0,label_4,1,1.5
subject022,sd:3+f230+r5,M3 expansion,5.0,label_5,1,3.674
subject022,sd:3+f230+r5,M3 expansion,5.0,label_6,1,2.121
subject022,sd:3+f230+r5,M3 expansion,5.0,label_7,0,
subject022,sd:3+f230+r5,M3 expansion,6.0,label_2,0,
subject022,sd:3+f230+r5,M3 expansion,6.0,label_3,0,
subject022,sd:3+f230+r5,M3 expansion,6.0,label_4,1,1.5
subject022,sd:3+f230+r5,M3 expansion,6.0,label_5,1,3.674
subject022,sd:3+f230+r5,M3 expansion,6.0,label_6,1,2.121
subject022,sd:3+f230+r5,M3 expansion,6.0,label_7,0,
subject022,sd:3+f230+r5,M3 expansion,8.0,label_2,0,
subject022,sd:3+f230+r5,M3 expansion,8.0,label_3,0,
subject022,sd:3+f230+r5,M3 expansion,8.0,label_4,1,1.5
subject022,sd:3+f230+r5,M3 expansion,8.0,label_5,1,3.674
subject022,sd:3+f230+r5,M3 expansion,8.0,label_6,1,2.121
subject022,sd:3+f230+r5,M3 expansion,8.0,label_7,0,
subject022,sd:3+f230+r5,M3 expansion,10.0,label_2,0,
subject022,sd:3+f230+r5,M3 expansion,10.0,label_3,0,
subject022,sd:3+f230+r5,M3 expansion,10.0,label_4,1,1.5
subject022,sd:3+f230+r5,M3 expansion,10.0,label_5,1,3.674
subject022,sd:3+f230+r5,M3 expansion,10.0,label_6,1,2.121
subject022,sd:3+f230+r5,M3 expansion,10.0,label_7,0,
subject022,sd:3+f250,M3 expansion,3.0,label_2,0,
subject022,sd:3+f250,M3 expansion,3.0,label_3,0,
subject022,sd:3+f250,M3 expansion,3.0,label_4,1,3.0
subject022,sd:3+f250,M3 expansion,3.0,label_5,1,2.121
subject022,sd:3+f250,M3 expansion,3.0,label_6,1,1.5
subject022,sd:3+f250,M3 expansion,3.0,label_7,0,
subject022,sd:3+f250,M3 expansion,5.0,label_2,0,
subject022,sd:3+f250,M3 expansion,5.0,label_3,0,
subject022,sd:3+f250,M3 expansion,5.0,label_4,1,3.0
subject022,sd:3+f250,M3 expansion,5.0,label_5,1,2.121
subject022,sd:3+f250,M3 expansion,5.0,label_6,1,1.5
subject022,sd:3+f250,M3 expansion,5.0,label_7,0,
subject022,sd:3+f250,M3 expansion,6.0,label_2,0,
subject022,sd:3+f250,M3 expansion,6.0,label_3,0,
subject022,sd:3+f250,M3 expansion,6.0,label_4,1,3.0
subject022,sd:3+f250,M3 expansion,6.0,label_5,1,2.121
subject022,sd:3+f250,M3 expansion,6.0,label_6,1,1.5
subject022,sd:3+f250,M3 expansion,6.0,label_7,0,
subject022,sd:3+f250,M3 expansion,8.0,label_2,0,
subject022,sd:3+f250,M3 expansion,8.0,label_3,0,
subject022,sd:3+f250,M3 expansion,8.0,label_4,1,3.0
subject022,sd:3+f250,M3 expansion,8.0,label_5,1,2.121
subject022,sd:3+f250,M3 expansion,8.0,label_6,1,1.5
subject022,sd:3+f250,M3 expansion,8.0,label_7,0,
subject022,sd:3+f250,M3 expansion,10.0,label_2,0,
subject022,sd:3+f250,M3 expansion,10.0,label_3,0,
subject022,sd:3+f250,M3 expansion,10.0,label_4,1,3.0
subject022,sd:3+f250,M3 expansion,10.0,label_5,1,2.121
subject022,sd:3+f250,M3 expansion,10.0,label_6,1,1.5
subject022,sd:3+f250,M3 expansion,10.0,label_7,0,
subject022,sd:3+f250+r5,M3 expansion,3.0,label_2,0,
subject022,sd:3+f250+r5,M3 expansion,3.0,label_3,0,
subject022,sd:3+f250+r5,M3 expansion,3.0,label_4,0,
subject022,sd:3+f250+r5,M3 expansion,3.0,label_5,1,2.121
subject022,sd:3+f250+r5,M3 expansion,3.0,label_6,1,1.5
subject022,sd:3+f250+r5,M3 expansion,3.0,label_7,0,
subject022,sd:3+f250+r5,M3 expansion,5.0,label_2,0,
subject022,sd:3+f250+r5,M3 expansion,5.0,label_3,0,
subject022,sd:3+f250+r5,M3 expansion,5.0,label_4,0,
subject022,sd:3+f250+r5,M3 expansion,5.0,label_5,1,2.121
subject022,sd:3+f250+r5,M3 expansion,5.0,label_6,1,1.5
subject022,sd:3+f250+r5,M3 expansion,5.0,label_7,0,
subject022,sd:3+f250+r5,M3 expansion,6.0,label_2,0,
subject022,sd:3+f250+r5,M3 expansion,6.0,label_3,0,
subject022,sd:3+f250+r5,M3 expansion,6.0,label_4,0,
subject022,sd:3+f250+r5,M3 expansion,6.0,label_5,1,2.121
subject022,sd:3+f250+r5,M3 expansion,6.0,label_6,1,1.5
subject022,sd:3+f250+r5,M3 expansion,6.0,label_7,0,
subject022,sd:3+f250+r5,M3 expansion,8.0,label_2,0,
subject022,sd:3+f250+r5,M3 expansion,8.0,label_3,0,
subject022,sd:3+f250+r5,M3 expansion,8.0,label_4,0,
subject022,sd:3+f250+r5,M3 expansion,8.0,label_5,1,2.121
subject022,sd:3+f250+r5,M3 expansion,8.0,label_6,1,1.5
subject022,sd:3+f250+r5,M3 expansion,8.0,label_7,0,
subject022,sd:3+f250+r5,M3 expansion,10.0,label_2,0,
subject022,sd:3+f250+r5,M3 expansion,10.0,label_3,0,
subject022,sd:3+f250+r5,M3 expansion,10.0,label_4,0,
subject022,sd:3+f250+r5,M3 expansion,10.0,label_5,1,2.121
subject022,sd:3+f250+r5,M3 expansion,10.0,label_6,1,1.5
subject022,sd:3+f250+r5,M3 expansion,10.0,label_7,0,
subject022,sd:3+f280,M3 expansion,3.0,label_2,0,
subject022,sd:3+f280,M3 expansion,3.0,label_3,0,
subject022,sd:3+f280,M3 expansion,3.0,label_4,0,
subject022,sd:3+f280,M3 expansion,3.0,label_5,0,
subject022,sd:3+f280,M3 expansion,3.0,label_6,0,
subject022,sd:3+f280,M3 expansion,3.0,label_7,0,
subject022,sd:3+f280,M3 expansion,5.0,label_2,0,
subject022,sd:3+f280,M3 expansion,5.0,label_3,0,
subject022,sd:3+f280,M3 expansion,5.0,label_4,0,
subject022,sd:3+f280,M3 expansion,5.0,label_5,0,
subject022,sd:3+f280,M3 expansion,5.0,label_6,0,
subject022,sd:3+f280,M3 expansion,5.0,label_7,0,
subject022,sd:3+f280,M3 expansion,6.0,label_2,0,
subject022,sd:3+f280,M3 expansion,6.0,label_3,0,
subject022,sd:3+f280,M3 expansion,6.0,label_4,0,
subject022,sd:3+f280,M3 expansion,6.0,label_5,0,
subject022,sd:3+f280,M3 expansion,6.0,label_6,0,
subject022,sd:3+f280,M3 expansion,6.0,label_7,0,
subject022,sd:3+f280,M3 expansion,8.0,label_2,0,
subject022,sd:3+f280,M3 expansion,8.0,label_3,0,
subject022,sd:3+f280,M3 expansion,8.0,label_4,0,
subject022,sd:3+f280,M3 expansion,8.0,label_5,0,
subject022,sd:3+f280,M3 expansion,8.0,label_6,0,
subject022,sd:3+f280,M3 expansion,8.0,label_7,0,
subject022,sd:3+f280,M3 expansion,10.0,label_2,0,
subject022,sd:3+f280,M3 expansion,10.0,label_3,0,
subject022,sd:3+f280,M3 expansion,10.0,label_4,0,
subject022,sd:3+f280,M3 expansion,10.0,label_5,0,
subject022,sd:3+f280,M3 expansion,10.0,label_6,0,
subject022,sd:3+f280,M3 expansion,10.0,label_7,0,
subject022,sd:3+f280+r5,M3 expansion,3.0,label_2,0,
subject022,sd:3+f280+r5,M3 expansion,3.0,label_3,0,
subject022,sd:3+f280+r5,M3 expansion,3.0,label_4,0,
subject022,sd:3+f280+r5,M3 expansion,3.0,label_5,0,
subject022,sd:3+f280+r5,M3 expansion,3.0,label_6,0,
subject022,sd:3+f280+r5,M3 expansion,3.0,label_7,0,
subject022,sd:3+f280+r5,M3 expansion,5.0,label_2,0,
subject022,sd:3+f280+r5,M3 expansion,5.0,label_3,0,
subject022,sd:3+f280+r5,M3 expansion,5.0,label_4,0,
subject022,sd:3+f280+r5,M3 expansion,5.0,label_5,0,
subject022,sd:3+f280+r5,M3 expansion,5.0,label_6,0,
subject022,sd:3+f280+r5,M3 expansion,5.0,label_7,0,
subject022,sd:3+f280+r5,M3 expansion,6.0,label_2,0,
subject022,sd:3+f280+r5,M3 expansion,6.0,label_3,0,
subject022,sd:3+f280+r5,M3 expansion,6.0,label_4,0,
subject022,sd:3+f280+r5,M3 expansion,6.0,label_5,0,
subject022,sd:3+f280+r5,M3 expansion,6.0,label_6,0,
subject022,sd:3+f280+r5,M3 expansion,6.0,label_7,0,
subject022,sd:3+f280+r5,M3 expansion,8.0,label_2,0,
subject022,sd:3+f280+r5,M3 expansion,8.0,label_3,0,
subject022,sd:3+f280+r5,M3 expansion,8.0,label_4,0,
subject022,sd:3+f280+r5,M3 expansion,8.0,label_5,0,
subject022,sd:3+f280+r5,M3 expansion,8.0,label_6,0,
subject022,sd:3+f280+r5,M3 expansion,8.0,label_7,0,
subject022,sd:3+f280+r5,M3 expansion,10.0,label_2,0,
subject022,sd:3+f280+r5,M3 expansion,10.0,label_3,0,
subject022,sd:3+f280+r5,M3 expansion,10.0,label_4,0,
subject022,sd:3+f280+r5,M3 expansion,10.0,label_5,0,
subject022,sd:3+f280+r5,M3 expansion,10.0,label_6,0,
subject022,sd:3+f280+r5,M3 expansion,10.0,label_7,0,
subject023,sd:3,M3 expansion,3.0,label_2,0,
subject023,sd:3,M3 expansion,3.0,label_3,1,1.5
subject023,sd:3,M3 expansion,3.0,label_4,0,
subject023,sd:3,M3 expansion,5.0,label_2,0,
subject023,sd:3,M3 expansion,5.0,label_3,1,1.5
subject023,sd:3,M3 expansion,5.0,label_4,0,
subject023,sd:3,M3 expansion,6.0,label_2,0,
subject023,sd:3,M3 expansion,6.0,label_3,1,1.5
subject023,sd:3,M3 expansion,6.0,label_4,0,
subject023,sd:3,M3 expansion,8.0,label_2,1,6.0
subject023,sd:3,M3 expansion,8.0,label_3,1,1.5
subject023,sd:3,M3 expansion,8.0,label_4,0,
subject023,sd:3,M3 expansion,10.0,label_2,1,6.0
subject023,sd:3,M3 expansion,10.0,label_3,1,1.5
subject023,sd:3,M3 expansion,10.0,label_4,0,
subject023,sd:3+r5,M3 expansion,3.0,label_2,0,
subject023,sd:3+r5,M3 expansion,3.0,label_3,0,
subject023,sd:3+r5,M3 expansion,3.0,label_4,0,
subject023,sd:3+r5,M3 expansion,5.0,label_2,0,
subject023,sd:3+r5,M3 expansion,5.0,label_3,0,
subject023,sd:3+r5,M3 expansion,5.0,label_4,0,
subject023,sd:3+r5,M3 expansion,6.0,label_2,0,
subject023,sd:3+r5,M3 expansion,6.0,label_3,0,
subject023,sd:3+r5,M3 expansion,6.0,label_4,0,
subject023,sd:3+r5,M3 expansion,8.0,label_2,0,
subject023,sd:3+r5,M3 expansion,8.0,label_3,0,
subject023,sd:3+r5,M3 expansion,8.0,label_4,0,
subject023,sd:3+r5,M3 expansion,10.0,label_2,0,
subject023,sd:3+r5,M3 expansion,10.0,label_3,0,
subject023,sd:3+r5,M3 expansion,10.0,label_4,0,
subject023,sd:3+f230,M3 expansion,3.0,label_2,0,
subject023,sd:3+f230,M3 expansion,3.0,label_3,0,
subject023,sd:3+f230,M3 expansion,3.0,label_4,1,2.121
subject023,sd:3+f230,M3 expansion,5.0,label_2,0,
subject023,sd:3+f230,M3 expansion,5.0,label_3,0,
subject023,sd:3+f230,M3 expansion,5.0,label_4,1,2.121
subject023,sd:3+f230,M3 expansion,6.0,label_2,0,
subject023,sd:3+f230,M3 expansion,6.0,label_3,0,
subject023,sd:3+f230,M3 expansion,6.0,label_4,1,2.121
subject023,sd:3+f230,M3 expansion,8.0,label_2,0,
subject023,sd:3+f230,M3 expansion,8.0,label_3,0,
subject023,sd:3+f230,M3 expansion,8.0,label_4,1,2.121
subject023,sd:3+f230,M3 expansion,10.0,label_2,0,
subject023,sd:3+f230,M3 expansion,10.0,label_3,0,
subject023,sd:3+f230,M3 expansion,10.0,label_4,1,2.121
subject023,sd:3+f230+r5,M3 expansion,3.0,label_2,0,
subject023,sd:3+f230+r5,M3 expansion,3.0,label_3,0,
subject023,sd:3+f230+r5,M3 expansion,3.0,label_4,1,2.121
subject023,sd:3+f230+r5,M3 expansion,5.0,label_2,0,
subject023,sd:3+f230+r5,M3 expansion,5.0,label_3,0,
subject023,sd:3+f230+r5,M3 expansion,5.0,label_4,1,2.121
subject023,sd:3+f230+r5,M3 expansion,6.0,label_2,0,
subject023,sd:3+f230+r5,M3 expansion,6.0,label_3,0,
subject023,sd:3+f230+r5,M3 expansion,6.0,label_4,1,2.121
subject023,sd:3+f230+r5,M3 expansion,8.0,label_2,0,
subject023,sd:3+f230+r5,M3 expansion,8.0,label_3,0,
subject023,sd:3+f230+r5,M3 expansion,8.0,label_4,1,2.121
subject023,sd:3+f230+r5,M3 expansion,10.0,label_2,0,
subject023,sd:3+f230+r5,M3 expansion,10.0,label_3,0,
subject023,sd:3+f230+r5,M3 expansion,10.0,label_4,1,2.121
subject023,sd:3+f250,M3 expansion,3.0,label_2,0,
subject023,sd:3+f250,M3 expansion,3.0,label_3,0,
subject023,sd:3+f250,M3 expansion,3.0,label_4,1,2.598
subject023,sd:3+f250,M3 expansion,5.0,label_2,0,
subject023,sd:3+f250,M3 expansion,5.0,label_3,0,
subject023,sd:3+f250,M3 expansion,5.0,label_4,1,2.598
subject023,sd:3+f250,M3 expansion,6.0,label_2,0,
subject023,sd:3+f250,M3 expansion,6.0,label_3,0,
subject023,sd:3+f250,M3 expansion,6.0,label_4,1,2.598
subject023,sd:3+f250,M3 expansion,8.0,label_2,0,
subject023,sd:3+f250,M3 expansion,8.0,label_3,0,
subject023,sd:3+f250,M3 expansion,8.0,label_4,1,2.598
subject023,sd:3+f250,M3 expansion,10.0,label_2,0,
subject023,sd:3+f250,M3 expansion,10.0,label_3,0,
subject023,sd:3+f250,M3 expansion,10.0,label_4,1,2.598
subject023,sd:3+f250+r5,M3 expansion,3.0,label_2,0,
subject023,sd:3+f250+r5,M3 expansion,3.0,label_3,0,
subject023,sd:3+f250+r5,M3 expansion,3.0,label_4,1,2.598
subject023,sd:3+f250+r5,M3 expansion,5.0,label_2,0,
subject023,sd:3+f250+r5,M3 expansion,5.0,label_3,0,
subject023,sd:3+f250+r5,M3 expansion,5.0,label_4,1,2.598
subject023,sd:3+f250+r5,M3 expansion,6.0,label_2,0,
subject023,sd:3+f250+r5,M3 expansion,6.0,label_3,0,
subject023,sd:3+f250+r5,M3 expansion,6.0,label_4,1,2.598
subject023,sd:3+f250+r5,M3 expansion,8.0,label_2,0,
subject023,sd:3+f250+r5,M3 expansion,8.0,label_3,0,
subject023,sd:3+f250+r5,M3 expansion,8.0,label_4,1,2.598
subject023,sd:3+f250+r5,M3 expansion,10.0,label_2,0,
subject023,sd:3+f250+r5,M3 expansion,10.0,label_3,0,
subject023,sd:3+f250+r5,M3 expansion,10.0,label_4,1,2.598
subject023,sd:3+f280,M3 expansion,3.0,label_2,0,
subject023,sd:3+f280,M3 expansion,3.0,label_3,1,1.5
subject023,sd:3+f280,M3 expansion,3.0,label_4,0,
subject023,sd:3+f280,M3 expansion,5.0,label_2,0,
subject023,sd:3+f280,M3 expansion,5.0,label_3,1,1.5
subject023,sd:3+f280,M3 expansion,5.0,label_4,0,
subject023,sd:3+f280,M3 expansion,6.0,label_2,0,
subject023,sd:3+f280,M3 expansion,6.0,label_3,1,1.5
subject023,sd:3+f280,M3 expansion,6.0,label_4,0,
subject023,sd:3+f280,M3 expansion,8.0,label_2,1,6.0
subject023,sd:3+f280,M3 expansion,8.0,label_3,1,1.5
subject023,sd:3+f280,M3 expansion,8.0,label_4,0,
subject023,sd:3+f280,M3 expansion,10.0,label_2,1,6.0
subject023,sd:3+f280,M3 expansion,10.0,label_3,1,1.5
subject023,sd:3+f280,M3 expansion,10.0,label_4,0,
subject023,sd:3+f280+r5,M3 expansion,3.0,label_2,0,
subject023,sd:3+f280+r5,M3 expansion,3.0,label_3,0,
subject023,sd:3+f280+r5,M3 expansion,3.0,label_4,0,
subject023,sd:3+f280+r5,M3 expansion,5.0,label_2,0,
subject023,sd:3+f280+r5,M3 expansion,5.0,label_3,0,
subject023,sd:3+f280+r5,M3 expansion,5.0,label_4,0,
subject023,sd:3+f280+r5,M3 expansion,6.0,label_2,0,
subject023,sd:3+f280+r5,M3 expansion,6.0,label_3,0,
subject023,sd:3+f280+r5,M3 expansion,6.0,label_4,0,
subject023,sd:3+f280+r5,M3 expansion,8.0,label_2,0,
subject023,sd:3+f280+r5,M3 expansion,8.0,label_3,0,
subject023,sd:3+f280+r5,M3 expansion,8.0,label_4,0,
subject023,sd:3+f280+r5,M3 expansion,10.0,label_2,0,
subject023,sd:3+f280+r5,M3 expansion,10.0,label_3,0,
subject023,sd:3+f280+r5,M3 expansion,10.0,label_4,0,
